Unnamed: 0,State,City,Name,Type,Type_encoded,combined_features
0,Delhi,Delhi,India Gate,War Memorial,74,War Memorial Delhi Delhi
1,Delhi,Delhi,Humayun's Tomb,Tomb,65,Tomb Delhi Delhi
2,Delhi,Delhi,Akshardham Temple,Temple,62,Temple Delhi Delhi
3,Delhi,Delhi,Waste to Wonder Park,Theme Park,64,Theme Park Delhi Delhi
4,Delhi,Delhi,Jantar Mantar,Observatory,38,Observatory Delhi Delhi
5,Delhi,Delhi,Chandni Chowk,Market,28,Market Delhi Delhi
6,Delhi,Delhi,Lotus Temple,Temple,62,Temple Delhi Delhi
7,Delhi,Delhi,Red Fort,Fort,17,Fort Delhi Delhi
8,Delhi,Delhi,Agrasen ki Baoli,Stepwell,58,Stepwell Delhi Delhi
9,Delhi,Delhi,Sunder Nursery,Park,41,Park Delhi Delhi
10,Delhi,Delhi,Garden of Five Senses,Park,41,Park Delhi Delhi
11,Delhi,Delhi,Lodhi Garden,Park,41,Park Delhi Delhi
12,Delhi,Delhi,National Gallery of Modern Art,Museum,35,Museum Delhi Delhi
13,Delhi,Delhi,National Zoological Park ,Zoo,77,Zoo Delhi Delhi
14,Delhi,Delhi,Qutub Minar,Monument,32,Monument Delhi Delhi
15,Delhi,Delhi,National Science Centre,Science,52,Science Delhi Delhi
16,Maharastra,Mumbai,Marine Drive,Promenade,43,Promenade Mumbai Maharastra
17,Maharastra,Mumbai,Gateway of India,Monument,32,Monument Mumbai Maharastra
18,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,35,Museum Mumbai Maharastra
19,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,36,National Park Mumbai Maharastra
20,Maharastra,Mumbai,Siddhivinayak Temple,Temple,62,Temple Mumbai Maharastra
21,Maharastra,Mumbai,Mahalaxmi Temple,Temple,62,Temple Mumbai Maharastra
22,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,46,Religious Shrine Mumbai Maharastra
23,Maharastra,Mumbai,Chowpatty Beach,Beach,3,Beach Mumbai Maharastra
24,Maharastra,Mumbai,Essel World,Amusement Park,1,Amusement Park Mumbai Maharastra
25,Maharastra,Mumbai,Elephanta Caves,Monument,32,Monument Mumbai Maharastra
26,Maharastra,Lonavala,Imagicaa,Amusement Park,1,Amusement Park Lonavala Maharastra
27,Karnataka,Bangalore,Bangalore Palace,Palace,40,Palace Bangalore Karnataka
28,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,6,Botanical Garden Bangalore Karnataka
29,Karnataka,Bangalore,Cubbon Park,Park,41,Park Bangalore Karnataka
30,Karnataka,Bangalore,Vidhana Soudha,Government Building,19,Government Building Bangalore Karnataka
31,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,62,Temple Bangalore Karnataka
32,Telangana,Hyderabad,Charminar,Landmark,26,Landmark Hyderabad Telangana
33,Telangana,Hyderabad,Golconda Fort,Fort,17,Fort Hyderabad Telangana
34,Telangana,Hyderabad,Hussain Sagar Lake,Lake,25,Lake Hyderabad Telangana
35,Telangana,Hyderabad,Ramoji Film City,Film Studio,16,Film Studio Hyderabad Telangana
36,Telangana,Hyderabad,Salar Jung Museum,Museum,35,Museum Hyderabad Telangana
37,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,66,Tombs Hyderabad Telangana
38,Telangana,Hyderabad,Birla Mandir,Temple,62,Temple Hyderabad Telangana
39,Telangana,Hyderabad,Chowmahalla Palace,Palace,40,Palace Hyderabad Telangana
40,Telangana,Hyderabad,Nehru Zoological Park,Zoo,77,Zoo Hyderabad Telangana
41,Telangana,Hyderabad,Lumbini Park,Park,41,Park Hyderabad Telangana
42,West Bengal,Kolkata,Victoria Memorial,Museum,35,Museum Kolkata West Bengal
43,West Bengal,Kolkata,Howrah Bridge,Bridge,7,Bridge Kolkata West Bengal
44,West Bengal,Kolkata,Indian Museum,Museum,35,Museum Kolkata West Bengal
45,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,62,Temple Kolkata West Bengal
46,West Bengal,Kolkata,Kalighat Kali Temple,Temple,62,Temple Kolkata West Bengal
47,West Bengal,Kolkata,Eden Gardens,Cricket Ground,12,Cricket Ground Kolkata West Bengal
48,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,77,Zoo Kolkata West Bengal
49,West Bengal,Kolkata,Science City Kolkata,Science,52,Science Kolkata West Bengal
50,West Bengal,Kolkata,Belur Math,Site,55,Site Kolkata West Bengal
51,West Bengal,Kolkata,Marble Palace,Palace,40,Palace Kolkata West Bengal
52,Goa,Goa,Calangute Beach,Beach,3,Beach Goa Goa
53,Goa,Goa,Basilica of Bom Jesus,Church,9,Church Goa Goa
54,Goa,Goa,Fort Aguada,Fort,17,Fort Goa Goa
55,Goa,Goa,Dudhsagar Falls,Waterfall,75,Waterfall Goa Goa
56,Goa,Goa,Anjuna Beach,Beach,3,Beach Goa Goa
57,Goa,Goa,Chapora Fort,Fort,17,Fort Goa Goa
